Unit ID,Unit name,Unit name local script,Fuel type,Unit type,Country,"Subnational unit (province, state)",Latitude,Longitude,Location accuracy,Status,Status year,Discovery year,Production start year,Operator,Owner,Parent,Basin,Concession / block,Project or complex,Government unit ID,Wiki URL,Wiki URL local
OG0014165,Sligo - Aethon,,oil and gas,asset,United States,Louisiana,32.45878213,-93.55532614,exact,operating,2020,,,Aethon Energy,,,,,,8358_A1760,"https://www.gem.wiki/Sligo_-_Aethon_Oil_and_Gas_Asset_(Louisiana,_United_States)",
OG0014166,Thorn Lake - Aethon,,oil and gas,asset,United States,Louisiana,32.21973196,-93.53307085,exact,operating,2020,,,Aethon Energy,,,,,,8918_A1760,"https://www.gem.wiki/Thorn_Lake_-_Aethon_Oil_and_Gas_Asset_(Louisiana,_United_States)",
OG0014167,Grand Cane - Aethon,,gas,asset,United States,Louisiana,32.021534,-93.89291186,exact,operating,2020,,,Aethon Energy,,,,,,4160_A1760,"https://www.gem.wiki/Grand_Cane_-_Aethon_Gas_Asset_(Louisiana,_United_States)",
OG0014168,Lake Bistineau - Aethon,,gas,asset,United States,Louisiana,32.34744363,-93.26162778,exact,operating,2020,,,Aethon Energy,,,,,,5096_A1760,"https://www.gem.wiki/Lake_Bistineau_-_Aethon_Gas_Asset_(Louisiana,_United_States)",
OG0014169,Caddo Pine Island - Aethon,,oil and gas,asset,United States,Louisiana,32.68890248,-93.86700144,exact,operating,2020,,,Aethon Energy,,,,,,2152_A1760,"https://www.gem.wiki/Caddo_Pine_Island_-_Aethon_Oil_and_Gas_Asset_(Louisiana,_United_States)",
OG0014173,Hawkville (Eagleford Shale) - Ageron,,gas,asset,United States,Texas,27.97637167,-99.31246158,exact,operating,2019,,,Ageron Energy,,,,,,39744500_008625,"https://www.gem.wiki/Hawkville_(Eagleford_Shale)_-_Ageron_Gas_Asset_(Texas,_United_States)",
OG0014174,Briscoe Ranch (Eagleford) - Ageron,,oil and gas,asset,United States,Texas,28.76548118,-99.39867203,exact,operating,2019,,,Ageron Energy,,,,,,12018200_008625,"https://www.gem.wiki/Briscoe_Ranch_(Eagleford)_-_Ageron_Oil_and_Gas_Asset_(Texas,_United_States)",
OG0014175,Foster - Aghorn,,oil,asset,United States,Texas,31.88844119,-102.4281922,exact,operating,2019,,,Aghorn,,,,,,32309001_008716,"https://www.gem.wiki/Foster_-_Aghorn_Oil_Asset_(Texas,_United_States)",
OG0014176,Lea County - Ameredev,,oil and gas,asset,United States,New Mexico,32.04728087,-103.2756322,exact,operating,2020,,,Ameredev,,,,,,,"https://www.gem.wiki/Lea_County_-_Ameredev_Oil_and_Gas_Asset_(New_Mexico,_United_States)",
OG0014177,Marshall County - American Petroleum,,gas,asset,United States,West Virginia,39.75,-80.583,approximate,operating,2020,,,American Petroleum,,,,,,,"https://www.gem.wiki/Marshall_County_-_American_Petroleum_Gas_Asset_(West_Virginia,_United_States)",
OG0014178,Carthage (Cotton Valley) - Amplify,,oil and gas,asset,United States,Texas,32.12252126,-94.28107182,exact,operating,2019,,,Amplify Energy,,,,,,16032174_020467,"https://www.gem.wiki/Carthage_(Cotton_Valley)_-_Amplify_Oil_and_Gas_Asset_(Texas,_United_States)",
